booking_id,booking_date,customer_age,num_travelers,duration_days,total_amount,target_repeat_booking,total_amount_capped,duration_capped,cost_per_traveler,total_amount_log1p,booking_dayofweek,booking_month,booking_is_weekend,days_since_booking,gender_Female,gender_Male,city_of_origin_Bangalore,city_of_origin_Chennai,city_of_origin_Delhi,city_of_origin_Hyderabad,city_of_origin_Mumbai,city_of_origin_Pune,destination_Agra,destination_Darjeeling,destination_Delhi,destination_Goa,destination_Jaipur,destination_Kerala,destination_Leh,destination_Manali,trip_type_Adventure,trip_type_Business,trip_type_Leisure,payment_mode_Card,payment_mode_NetBanking,payment_mode_UPI,payment_mode_Wallet,booking_channel_MobileApp,booking_channel_TravelAgent,booking_channel_Website,age_bucket_young,age_bucket_adult,age_bucket_mid,age_bucket_senior,customer_age_z,num_travelers_z,duration_days_z,total_amount_z,total_amount_capped_z,duration_capped_z,cost_per_traveler_z,total_amount_log1p_z,booking_dayofweek_z,booking_month_z,booking_is_weekend_z,days_since_booking_z,gender_Female_z,gender_Male_z,city_of_origin_Bangalore_z,city_of_origin_Chennai_z,city_of_origin_Delhi_z,city_of_origin_Hyderabad_z,city_of_origin_Mumbai_z,city_of_origin_Pune_z,destination_Agra_z,destination_Darjeeling_z,destination_Delhi_z,destination_Goa_z,destination_Jaipur_z,destination_Kerala_z,destination_Leh_z,destination_Manali_z,trip_type_Adventure_z,trip_type_Business_z,trip_type_Leisure_z,payment_mode_Card_z,payment_mode_NetBanking_z,payment_mode_UPI_z,payment_mode_Wallet_z,booking_channel_MobileApp_z,booking_channel_TravelAgent_z,booking_channel_Website_z,age_bucket_young_z,age_bucket_adult_z,age_bucket_mid_z,age_bucket_senior_z
BKG1000,2024-07-21,56.0,2,14,16640.0,1,16640.0,14,8320.0,9.719624808723344,6,7,1,423,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0.8005532161408528,-0.7416865725668047,1.2296835455397868,-0.5503226634044909,-0.9434059426073577,1.5777488301689993,-0.35666222693813204,-0.7304162276941313,1.4418356098331337,0.1648785927242263,1.518761258917742,0.40093211793526734,1.0481596517049228,-1.0481596517049228,2.207393991858752,-0.38957616104358367,-0.41966373093087705,-0.42622650167822806,-0.44569348867951725,-0.5429052532345191,-0.358344576091849,-0.36188295900484124,-0.4163670284105333,-0.4030696171619362,-0.4030696171619362,2.4759990768518936,-0.3403517088458433,-0.3292873444434861,2.6074652442554247,-0.5890784982402165,-1.2599572325992954,1.685366885417397,-0.5829250454210118,-0.6137227773049654,-0.5181674072430009,-0.8747861929593002,2.8416064598616173,-0.9146358966984685,-0.42295010633977875,-0.40641132264020785,-0.7362903345760581,1.3495217817982867
BKG1001,2025-02-22,69.0,4,8,23971.0,0,23971.0,8,5992.75,10.084641761578075,5,2,1,207,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,1,0,0,0,0,0,1,1.6888420356894263,0.655086633773694,-0.04459992134082147,-0.14987184574923515,-0.18535446446100515,-0.014864390055427763,-0.6100941588625057,0.03989596696383067,0.9334309519230019,-1.3125281521165115,1.518761258917742,-0.6246640151061555,-0.9521450271212656,0.9521450271212656,-0.4521168417060095,-0.38957616104358367,-0.41966373093087705,-0.42622650167822806,2.239207045534442,-0.5429052532345191,-0.358344576091849,-0.36188295900484124,-0.4163670284105333,-0.4030696171619362,-0.4030696171619362,-0.4030696171619362,2.9322608762103424,-0.3292873444434861,-0.38274719181731004,-0.5890784982402165,0.7920903774972768,1.685366885417397,-0.5829250454210118,-0.6137227773049654,-0.5181674072430009,1.1408501963478432,-0.3512097871739077,-0.9146358966984685,-0.42295010633977875,-0.40641132264020785,-0.7362903345760581,1.3495217817982867
BKG1002,2025-09-12,46.0,2,7,32982.0,0,32982.0,7,16491.0,10.403747556197336,4,9,0,5,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0.11725412418041176,-0.7416865725668047,-0.25698049915425614,0.3423478129455553,0.7464149898531106,-0.28029992675949894,0.5331400357126607,0.7133197163507909,0.4250262940128701,0.7558412906605214,-0.6571144701907708,-1.5837863247097084,-0.9521450271212656,0.9521450271212656,-0.4521168417060095,-0.38957616104358367,-0.41966373093087705,2.3414780546739022,-0.44569348867951725,-0.5429052532345191,-0.358344576091849,-0.36188295900484124,-0.4163670284105333,-0.4030696171619362,-0.4030696171619362,-0.4030696171619362,2.9322608762103424,-0.3292873444434861,-0.38274719181731004,1.6941714949389173,-1.2599572325992954,-0.5921559327142206,-0.5829250454210118,-0.6137227773049654,1.9260184759787016,-0.8747861929593002,-0.3512097871739077,1.0911445785174712,-0.42295010633977875,-0.40641132264020785,1.3554435704695615,-0.7395212240814141
BKG1003,2024-02-29,32.0,3,13,23041.0,0,23041.0,13,7680.333333333333,10.045073916597998,3,2,0,566,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,1,0,0,1,0,0,-0.8393646045642057,-0.043299969396555345,1.017302967726352,-0.20067245418183477,-0.28151977269673123,1.3123132934649282,-0.42632038962841357,-0.04360589032283437,-0.08337836389726169,-1.3125281521165115,-0.6571144701907708,1.0799147430506537,1.0481596517049228,-1.0481596517049228,-0.4521168417060095,-0.38957616104358367,-0.41966373093087705,2.3414780546739022,-0.44569348867951725,-0.5429052532345191,-0.358344576091849,-0.36188295900484124,-0.4163670284105333,-0.4030696171619362,-0.4030696171619362,-0.4030696171619362,-0.3403517088458433,3.0307875988573927,-0.38274719181731004,-0.5890784982402165,0.7920903774972768,-0.5921559327142206,1.712055448362499,-0.6137227773049654,-0.5181674072430009,-0.8747861929593002,2.8416064598616173,-0.9146358966984685,-0.42295010633977875,2.45564024524858,-0.7362903345760581,-0.7395212240814141
BKG1004,2025-06-07,60.0,3,9,19298.0,0,19298.0,9,6432.666666666667,9.86780856007911,5,6,1,102,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,1,0,0,0,1,1.0738728529250292,-0.043299969396555345,0.16778065647261323,-0.40513124704551257,-0.668559287456218,0.25057114664864344,-0.5621882911134181,-0.41769718868297995,0.9334309519230019,-0.1306027562439213,1.518761258917742,-1.1232176908901805,-0.9521450271212656,0.9521450271212656,-0.4521168417060095,2.5617583923168987,-0.41966373093087705,-0.42622650167822806,-0.44569348867951725,-0.5429052532345191,-0.358344576091849,-0.36188295900484124,-0.4163670284105333,-0.4030696171619362,-0.4030696171619362,-0.4030696171619362,-0.3403517088458433,3.0307875988573927,2.6074652442554247,-0.5890784982402165,-1.2599572325992954,-0.5921559327142206,-0.5829250454210118,1.6261413734430834,-0.5181674072430009,-0.8747861929593002,-0.3512097871739077,1.0911445785174712,-0.42295010633977875,-0.40641132264020785,-0.7362903345760581,1.3495217817982867
BKG1005,2024-04-25,25.0,4,9,31184.0,1,31184.0,9,7796.0,10.347692488960222,3,4,0,510,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,1,0,0,0,-1.3176739689365145,0.655086633773694,0.16778065647261323,0.24413330330919605,0.5604953939307069,0.25057114664864344,-0.4137245676098999,0.5950241097291833,-0.08337836389726169,-0.7215654541802164,-0.6571144701907708,0.8140194492991738,-0.9521450271212656,0.9521450271212656,-0.4521168417060095,-0.38957616104358367,2.37809447527497,-0.42622650167822806,-0.44569348867951725,-0.5429052532345191,-0.358344576091849,-0.36188295900484124,2.39692370409307,-0.4030696171619362,-0.4030696171619362,-0.4030696171619362,-0.3403517088458433,-0.3292873444434861,-0.38274719181731004,-0.5890784982402165,0.7920903774972768,-0.5921559327142206,-0.5829250454210118,-0.6137227773049654,1.9260184759787016,-0.8747861929593002,2.8416064598616173,-0.9146358966984685,2.359616382737713,-0.40641132264020785,-0.7362903345760581,-0.7395212240814141
BKG1006,2025-07-02,38.0,5,7,38358.0,1,38358.0,7,7671.6,10.554744459835888,2,7,0,77,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,1,0,-0.4293851493879411,1.3534732369439433,-0.25698049915425614,0.6360081042720667,1.302312513589953,-0.28029992675949894,-0.42727142863960965,1.0319754810178647,-0.5917830218073935,0.1648785927242263,-0.6571144701907708,-1.241920947029234,1.0481596517049228,-1.0481596517049228,-0.4521168417060095,-0.38957616104358367,-0.41966373093087705,-0.42622650167822806,2.239207045534442,-0.5429052532345191,-0.358344576091849,-0.36188295900484124,2.39692370409307,-0.4030696171619362,-0.4030696171619362,-0.4030696171619362,-0.3403517088458433,-0.3292873444434861,-0.38274719181731004,-0.5890784982402165,0.7920903774972768,-0.5921559327142206,1.712055448362499,-0.6137227773049654,-0.5181674072430009,1.1408501963478432,-0.3512097871739077,-0.9146358966984685,-0.42295010633977875,-0.40641132264020785,1.3554435704695615,-0.7395212240814141
BKG1007,2025-05-31,56.0,4,13,23591.0,0,23591.0,13,5897.75,10.068662950495112,5,5,1,109,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0.8005532161408528,0.655086633773694,1.017302967726352,-0.17062908360341564,-0.2246478162132373,1.3123132934649282,-0.6204394305491812,0.006175141295109369,0.9334309519230019,-0.42608410521206885,1.518761258917742,-1.0899807791712455,-0.9521450271212656,0.9521450271212656,-0.4521168417060095,-0.38957616104358367,2.37809447527497,-0.42622650167822806,-0.44569348867951725,-0.5429052532345191,2.7850288983980542,-0.36188295900484124,-0.4163670284105333,-0.4030696171619362,-0.4030696171619362,-0.4030696171619362,-0.3403517088458433,-0.3292873444434861,-0.38274719181731004,1.6941714949389173,-1.2599572325992954,-0.5921559327142206,1.712055448362499,-0.6137227773049654,-0.5181674072430009,-0.8747861929593002,-0.3512097871739077,1.0911445785174712,-0.42295010633977875,-0.40641132264020785,-0.7362903345760581,1.3495217817982867
BKG1008,2024-03-09,36.0,2,12,23314.0,1,23314.0,12,11657.0,10.056852209242422,5,3,1,557,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,1,0,-0.5660449677800293,-0.7416865725668047,0.8049223899129173,-0.18576001751291038,-0.2532906015694697,1.046877756760857,0.006729053255931775,-0.01874961341489379,0.9334309519230019,-1.017046803148364,1.518761258917742,1.0371815708405945,-0.9521450271212656,0.9521450271212656,-0.4521168417060095,-0.38957616104358367,-0.41966373093087705,-0.42622650167822806,2.239207045534442,-0.5429052532345191,-0.358344576091849,2.757797722071376,-0.4163670284105333,-0.4030696171619362,-0.4030696171619362,-0.4030696171619362,-0.3403517088458433,-0.3292873444434861,-0.38274719181731004,-0.5890784982402165,0.7920903774972768,-0.5921559327142206,-0.5829250454210118,1.6261413734430834,-0.5181674072430009,1.1408501963478432,-0.3512097871739077,-0.9146358966984685,-0.42295010633977875,-0.40641132264020785,1.3554435704695615,-0.7395212240814141
BKG1009,2023-10-26,45.0,4,11,25863.0,1,25863.0,11,6465.75,10.160607319405269,3,10,0,692,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,1,0,0.04892421498436765,0.655086633773694,0.5925418120994826,-0.04652265095947336,0.010285065842213923,0.7814422200567858,-0.5585855956225321,0.20020960475689767,-0.08337836389726169,1.051322639628669,-0.6571144701907708,1.6781791539914837,-0.9521450271212656,0.9521450271212656,-0.4521168417060095,-0.38957616104358367,-0.41966373093087705,-0.42622650167822806,-0.44569348867951725,1.8382581381449508,2.7850288983980542,-0.36188295900484124,-0.4163670284105333,-0.4030696171619362,-0.4030696171619362,-0.4030696171619362,-0.3403517088458433,-0.3292873444434861,-0.38274719181731004,-0.5890784982402165,0.7920903774972768,-0.5921559327142206,-0.5829250454210118,-0.6137227773049654,1.9260184759787016,1.1408501963478432,-0.3512097871739077,-0.9146358966984685,-0.42295010633977875,-0.40641132264020785,1.3554435704695615,-0.7395212240814141
